Ligand,Receptor,Expr_Prod,Affinity_Pred,Affinity_Score,Rank_Baseline,Rank_Affinity,Rank_Change
CD274,PDCD1,0.001090612,9.1789055,0.010010624,347.5,90.0,257.5
PDCD1LG2,PDCD1,0.001090612,7.245809,0.007902366,347.5,102.0,245.5
CD274,CD80,6.9026214e-06,1.4757787,1.0186742e-05,1187.5,970.0,217.5
EPHB2,EFNA5,4.141573e-05,0.53895485,2.2321208e-05,872.0,811.0,61.0
IL6R,IL6,1.3805243e-05,0.5328399,7.355984e-06,1078.0,1026.0,52.0
CD86,CD28,0.0003002642,0.53688496,0.00016120732,550.0,500.0,50.0
PDGFB,PDGFRB,2.7610486e-05,0.5442855,1.5027987e-05,952.0,904.0,48.0
HLA-G,LILRB1,0.00031061796,0.5395057,0.00016758018,543.0,496.0,47.0
EFNB1,EPHB4,4.141573e-05,0.4943372,2.0473335e-05,872.0,826.0,46.0
IL10RA,IL10,0.00013114979,0.5594277,7.336882e-05,680.5,635.0,45.5
IL34,CSF1R,6.2123596e-05,0.56744176,3.5251524e-05,786.5,741.0,45.5
ITGA5,PLA2G2A,2.0707865e-05,0.512607,1.06149955e-05,1002.0,958.0,44.0
EFNB2,EPHB4,4.141573e-05,0.48743877,2.0187632e-05,872.0,830.0,42.0
EPHB4,EFNB2,0.00022778653,0.53742677,0.00012241858,596.0,555.0,41.0
PDGFRB,PDGFB,5.1769657e-05,0.5153401,2.667898e-05,825.0,788.0,37.0
IL13RA1,IL4,0.0003313259,0.4971899,0.00016473189,532.0,497.0,35.0
BMP7,BMPR1A,0.00019327336,0.4954099,9.5749536e-05,627.5,593.0,34.5
WNT7B,FZD1,4.141573e-05,0.4677157,1.9370787e-05,872.0,838.0,34.0
EPHB2,EFNB1,0.0001863708,0.512726,9.555716e-05,629.5,596.0,33.5
WNT7B,LRP6,4.141573e-05,0.46646217,1.9318872e-05,872.0,839.0,33.0
EFNB2,EPHB6,0.00045557314,0.5204999,0.00023712577,474.0,441.0,33.0
TNFRSF11A,TNFSF11,2.7610486e-05,0.4927551,1.3605208e-05,952.0,919.0,33.0
EPHA2,EFNA5,6.9026214e-06,0.5060364,3.4929776e-06,1187.5,1156.0,31.5
EPHB2,EFNB2,0.00012424719,0.5312662,6.600833e-05,687.5,656.0,31.5
EPHA4,EFNB2,8.2831466e-05,0.5125333,4.2453885e-05,746.5,715.0,31.5
EPHB6,EFNB2,0.00026920225,0.52293164,0.00014077437,565.0,534.0,31.0
EPHB4,EFNB1,0.0003416798,0.5163163,0.00017641486,520.0,489.0,31.0
EFNA5,EPHB2,1.7256554e-05,0.51544785,8.894854e-06,1032.5,1002.0,30.5
EGF,EGFR,6.9026214e-06,0.50053066,3.4549737e-06,1187.5,1157.0,30.5
RAET1E,KLRK1,0.00045902465,0.5200842,0.00023873147,469.0,439.0,30.0
EPHB6,EFNB1,0.0004038034,0.50435364,0.00020365971,493.0,463.0,30.0
EFNB1,EPHB6,0.00045557314,0.50883466,0.0002318114,474.0,444.0,30.0
EPHA4,EFNA5,2.7610486e-05,0.48951533,1.3515756e-05,952.0,922.0,30.0
EPGN,EGFR,6.9026214e-06,0.48964977,3.379867e-06,1187.5,1158.0,29.5
CD6,ALCAM,2.761049e-05,0.51883453,1.43252755e-05,939.5,910.0,29.5
ICOSLG,ICOS,0.0056635984,0.6210291,0.0035172594,189.0,160.0,29.0
TNFSF13,TNFRSF13B,4.141573e-05,0.45849568,1.8988932e-05,872.0,843.0,29.0
TNFRSF11B,TNFSF11,1.3805243e-05,0.48560038,6.7038313e-06,1078.0,1049.0,29.0
EPHA1,EFNA5,6.9026214e-06,0.47337857,3.267553e-06,1187.5,1159.0,28.5
SORT1,NGF,4.831835e-05,0.47054368,2.2735894e-05,836.5,808.0,28.5
VEGFA,FLT1,0.0008904385,0.51352936,0.00045726632,380.0,352.0,28.0
NTN1,UNC5C,6.9026214e-06,0.4733118,3.2670923e-06,1187.5,1160.0,27.5
HLA-G,LILRB2,3.1061798e-05,0.48646954,1.5110619e-05,928.5,901.0,27.5
TNFSF13B,TNFRSF13B,3.451311e-05,0.47488979,1.6389922e-05,909.5,882.0,27.5
NRP2,VEGFA,4.1415733e-05,0.49531606,2.0513877e-05,852.5,825.0,27.5
BMP5,BMPR1A,9.663668e-05,0.47833955,4.6225145e-05,732.5,705.0,27.5
PDGFA,PDGFRA,1.3805243e-05,0.46852684,6.4681267e-06,1078.0,1051.0,27.0
HCST,RAET1G,6.9026214e-06,0.4579743,3.1612233e-06,1187.5,1161.0,26.5
GABRA3,SLC6A11,1.3805243e-05,0.46704218,6.4476308e-06,1078.0,1052.0,26.0
ITGA5,FN1,0.00013805242,0.49069452,6.774157e-05,673.0,647.0,26.0
LEPR,LEP,3.4513107e-06,0.5194055,1.7926297e-06,1247.0,1221.0,26.0
TNFRSF21,PI16,7.592884e-05,0.46470448,3.5284473e-05,765.5,740.0,25.5
PDGFB,PDGFRA,6.9026214e-06,0.45182195,3.1187558e-06,1187.5,1162.0,25.5
EFNB2,EPHA4,0.00064194406,0.49031875,0.0003147572,425.5,400.0,25.5
