uniprot,best_affinity_nM,affinity_type,example_line,num_records
A0A024B7W1,4020.0,EC50 (nM),964759,1
A0A087WW23,0.34,Ki (nM),282610,190
A0A0B4J268,1027.0,IC50 (nM),209601,232
A0A0C5B5G6,100.0,IC50 (nM),1439908,27
A0A0C5PRQ1,25119.0,IC50 (nM),2718202,5
A0A0D1DYD5,45.8,IC50 (nM),1154354,45
A0A0G2K344,5.3,IC50 (nM),2986087,56
A0A0K2E2J2,44.0,IC50 (nM),1329804,47
A0A0R4IM31,1.48,EC50 (nM),401904,11
A0A2R8YG87,15.0,IC50 (nM),2573764,39
A0A5G2RFL7,15.0,IC50 (nM),2494725,14
A0A8C0LZB8,2.0,IC50 (nM),1101475,5
A0A8I3NP04,105.0,IC50 (nM),2461982,2
A0AVT1,50.0,IC50 (nM),561122,18
A0EPY1,2.0,IC50 (nM),1044697,18
A0QP27,159.0,Ki (nM),3041981,4
A0QVH7,80.0,IC50 (nM),2428626,5
A0R211,40.0,IC50 (nM),3026908,1
A0R607,5.3,IC50 (nM),2986240,1
A0R666,2900.0,IC50 (nM),2465705,1
A0SYQ0,11.0,IC50 (nM),2022671,8
A1L314,9.0,IC50 (nM),3057317,2
A1L3X0,100000.0,IC50 (nM),2980926,4
A1Z1Q3,150.0,Kd (nM),2625144,4
A2AGL3,3.3,IC50 (nM),2689212,1
A2APX8,290.0,Kd (nM),1911060,8
A2RI47,4.23,Kd (nM),290304,5
A2V9Z4,0.3,Ki (nM),3050248,1
A3M3H0,19.0,IC50 (nM),1343216,87
A3RGC1,0.07,Kd (nM),2411610,1
A4D1B5,1.0,IC50 (nM),299429,3
A4D1P6,6000.0,Kd (nM),3071207,18
A4IFJ5,500.0,IC50 (nM),1549742,69
A4Q9F0,150000.0,IC50 (nM),2572224,1
A5A4K9,125.89,EC50 (nM),2510457,1
A5D7B7,22000.0,IC50 (nM),1947437,5
A5D7T0,1.95,IC50 (nM),201085,3
A5GZW8,527.0,IC50 (nM),1827986,1
A5LHX3,0.6,IC50 (nM),2664207,218
A5X5Y0,0.000813,IC50 (nM),1549122,142
A6NHL2,540.0,IC50 (nM),2769688,1
A6NNY8,10000.0,IC50 (nM),2832723,1
A6T4N4,2.64,IC50 (nM),245706,1
A6T4N9,1.0,IC50 (nM),964780,3
A6T5R0,0.23,IC50 (nM),1404794,26
A7MBE0,0.5,Ki (nM),161069,12
A8MPY1,150.0,Ki (nM),181338,5
A8NS89,5300.0,Ki (nM),2226879,9
