source_cell_type,target_cell_type,total_weight,mean_weight,n_edges
B.cells.Memory,B.cells.Memory,835.0,1.0,835
B.cells.Memory,B.cells.Naive,650.0,1.0,650
B.cells.Memory,CAFs.MSC.iCAF.like,1189.0,1.0,1189
B.cells.Memory,CAFs.myCAF.like,1351.0,1.0,1351
B.cells.Memory,Cancer.Basal.SC,1500.0,1.0,1500
B.cells.Memory,Cancer.Cycling,1408.0,1.0,1408
B.cells.Memory,Cancer.Her2.SC,1274.0,1.0,1274
B.cells.Memory,Cancer.LumA.SC,630.0,1.0,630
B.cells.Memory,Cancer.LumB.SC,609.0,1.0,609
B.cells.Memory,Cycling.Myeloid,835.0,1.0,835
B.cells.Memory,Cycling.PVL,626.0,1.0,626
B.cells.Memory,Cycling.T.cells,860.0,1.0,860
B.cells.Memory,DCs,940.0,1.0,940
B.cells.Memory,Endothelial.ACKR1,948.0,1.0,948
B.cells.Memory,Endothelial.CXCL12,802.0,1.0,802
B.cells.Memory,Endothelial.Lymphatic.LYVE1,721.0,1.0,721
B.cells.Memory,Endothelial.RGS5,872.0,1.0,872
B.cells.Memory,Luminal.Progenitors,1077.0,1.0,1077
B.cells.Memory,Macrophage,1087.0,1.0,1087
B.cells.Memory,Mature.Luminal,1053.0,1.0,1053
B.cells.Memory,Monocyte,911.0,1.0,911
B.cells.Memory,Myoepithelial,831.0,1.0,831
B.cells.Memory,NK.cells,760.0,1.0,760
B.cells.Memory,NKT.cells,643.0,1.0,643
B.cells.Memory,PVL.Differentiated,968.0,1.0,968
B.cells.Memory,PVL.Immature,911.0,1.0,911
B.cells.Memory,Plasmablasts,1074.0,1.0,1074
B.cells.Memory,T.cells.CD4,1093.0,1.0,1093
B.cells.Memory,T.cells.CD8,840.0,1.0,840
B.cells.Naive,B.cells.Memory,652.0,1.0,652
B.cells.Naive,B.cells.Naive,533.0,1.0,533
B.cells.Naive,CAFs.MSC.iCAF.like,970.0,1.0,970
B.cells.Naive,CAFs.myCAF.like,1127.0,1.0,1127
B.cells.Naive,Cancer.Basal.SC,1201.0,1.0,1201
B.cells.Naive,Cancer.Cycling,1144.0,1.0,1144
