partner_a,partner_b,protein_name_a,protein_name_b,pair_id
P12830,integrin_a2b1_complex,CADH1_HUMAN,,P12830_integrin_a2b1_complex
P12830,integrin_aEb7_complex,CADH1_HUMAN,,P12830_integrin_aEb7_complex
P12830,Q96E93,CADH1_HUMAN,KLRG1_HUMAN,P12830_Q96E93
P19022,P19022,CADH2_HUMAN,CADH2_HUMAN,P19022_P19022
P19022,P06734,CADH2_HUMAN,FCER2_HUMAN,P19022_P06734
P22223,P22223,CADH3_HUMAN,CADH3_HUMAN,P22223_P22223
P33151,P33151,CADH5_HUMAN,CADH5_HUMAN,P33151_P33151
P55285,P55285,CADH6_HUMAN,CADH6_HUMAN,P55285_P55285
Q9ULB5,Q9ULB5,CADH7_HUMAN,CADH7_HUMAN,Q9ULB5_Q9ULB5
Q9BY67,Q9BY67,CADM1_HUMAN,CADM1_HUMAN,Q9BY67_Q9BY67
Q9BY67,Q9NQS3,CADM1_HUMAN,PVRL3_HUMAN,Q9BY67_Q9NQS3
Q8N126,Q9BY67,CADM3_HUMAN,CADM1_HUMAN,Q8N126_Q9BY67
Q8N126,Q8NFZ8,CADM3_HUMAN,CADM4_HUMAN,Q8N126_Q8NFZ8
Q8N126,Q9H4G0,CADM3_HUMAN,E41L1_HUMAN,Q8N126_Q9H4G0
Q8N126,Q9NQS3,CADM3_HUMAN,PVRL3_HUMAN,Q8N126_Q9NQS3
P13688,Q9NNX6,CEAM1_HUMAN,CD209_HUMAN,P13688_Q9NNX6
P13688,P40199,CEAM1_HUMAN,CEAM6_HUMAN,P13688_P40199
P13688,P31997,CEAM1_HUMAN,CEAM8_HUMAN,P13688_P31997
P13688,P16581,CEAM1_HUMAN,LYAM2_HUMAN,P13688_P16581
P06731,P15813,CEAM5_HUMAN,CD1D_HUMAN,P06731_P15813
P06731,P01732,CEAM5_HUMAN,CD8A_HUMAN,P06731_P01732
P06731,P13688,CEAM5_HUMAN,CEAM1_HUMAN,P06731_P13688
P06731,P40199,CEAM5_HUMAN,CEAM6_HUMAN,P06731_P40199
P40199,P40199,CEAM6_HUMAN,CEAM6_HUMAN,P40199_P40199
P31997,P40199,CEAM8_HUMAN,CEAM6_HUMAN,P31997_P40199
Q03692,integrin_a1b1_complex,COAA1_HUMAN,,Q03692_integrin_a1b1_complex
Q03692,integrin_a10b1_complex,COAA1_HUMAN,,Q03692_integrin_a10b1_complex
Q03692,integrin_a11b1_complex,COAA1_HUMAN,,Q03692_integrin_a11b1_complex
Q03692,integrin_a2b1_complex,COAA1_HUMAN,,Q03692_integrin_a2b1_complex
P12107,integrin_a1b1_complex,COBA1_HUMAN,,P12107_integrin_a1b1_complex
P12107,integrin_a10b1_complex,COBA1_HUMAN,,P12107_integrin_a10b1_complex
P12107,integrin_a11b1_complex,COBA1_HUMAN,,P12107_integrin_a11b1_complex
P12107,integrin_a2b1_complex,COBA1_HUMAN,,P12107_integrin_a2b1_complex
P13942,integrin_a1b1_complex,COBA2_HUMAN,,P13942_integrin_a1b1_complex
P13942,integrin_a10b1_complex,COBA2_HUMAN,,P13942_integrin_a10b1_complex
