uniprot,protein_name,transmembrane,receptor,secreted
P03372,ESR1_HUMAN,False,True,False
Q92753,RORB_HUMAN,False,True,False
O95477,ABCA1_HUMAN,True,False,False
Q13133,NR1H3_HUMAN,False,True,False
P04150,GCR_HUMAN,False,True,False
Q7Z5A7,TAFA5_HUMAN,False,False,True
Q9UNN8,PROCR_HUMAN,False,True,False
Q96LR4,TAFA4_HUMAN,False,False,True
O60883,G37L1_HUMAN,True,True,False
Q96RI1,NR1H4_HUMAN,False,True,False
P30533,AMRP_HUMAN,False,False,False
O75787,RENR_HUMAN,True,True,False
P10275,ANDR_HUMAN,False,True,False
Q96CM4,NXNL1_HUMAN,False,False,False
P55055,NR1H2_HUMAN,False,True,False
P35398,RORA_HUMAN,False,True,False
P10827,THA_HUMAN,False,True,False
P51449,RORG_HUMAN,False,True,False
Q6UWK7,GP15L_HUMAN,False,False,True
P35442,TSP2_HUMAN,False,False,False
P02794,FRIH_HUMAN,False,False,False
P08235,MCR_HUMAN,False,True,False
P37231,PPARG_HUMAN,False,True,False
P06401,PRGR_HUMAN,False,False,False
P10828,THB_HUMAN,False,False,False
P02792,FRIL_HUMAN,False,False,False
Q03181,PPARD_HUMAN,False,False,False
O75469,NR1I2_HUMAN,False,True,False
Q92731,ESR2_HUMAN,False,True,False
Q7Z5A9,TAFA1_HUMAN,False,False,True
P11473,VDR_HUMAN,False,True,False
Q07869,PPARA_HUMAN,False,True,False
A5X5Y0,5HT3E_HUMAN,True,True,False
A6NMZ7,CO6A6_HUMAN,False,False,True
A8TX70,CO6A5_HUMAN,False,False,True
D3W0D1,KLRF2_HUMAN,True,True,False
HLAA,HLAA,True,True,False
HLAB,HLAB,True,True,False
HLAC,HLAC,True,True,False
O00144,FZD9_HUMAN,True,True,False
O00175,CCL24_HUMAN,False,False,True
O00182,LEG9_HUMAN,False,False,True
O00220,TR10A_HUMAN,True,True,False
O00230,CORT_HUMAN,False,False,True
O00238,BMR1B_HUMAN,True,True,False
O00241,SIRB1_HUMAN,True,True,False
O00253,AGRP_HUMAN,False,False,True
O00292,LFTY2_HUMAN,False,False,True
O00294,TULP1_HUMAN,False,False,True
O00300,TR11B_HUMAN,False,False,True
O00421,CCRL2_HUMAN,True,True,False
O00451,GFRA2_HUMAN,True,True,False
O00468,AGRIN_HUMAN,True,False,True
O00548,DLL1_HUMAN,True,False,False
O00574,CXCR6_HUMAN,True,True,False
O00584,RNT2_HUMAN,False,False,True
O00585,CCL21_HUMAN,False,False,True
O00590,ACKR2_HUMAN,True,True,False
O00592,PODXL_HUMAN,True,False,False
O00626,CCL22_HUMAN,False,False,True
O00755,WNT7A_HUMAN,False,False,True
O14511,NRG2_HUMAN,True,False,True
O14625,CXL11_HUMAN,False,False,True
O14763,TR10B_HUMAN,True,True,False
O14786,NRP1_HUMAN,True,True,True
O14788,TNF11_HUMAN,True,True,True
O14793,GDF8_HUMAN,False,False,True
O14798,TR10C_HUMAN,True,True,False
O14836,TR13B_HUMAN,True,True,False
O14904,WNT9A_HUMAN,False,False,True
O14905,WNT9B_HUMAN,False,False,True
O14931,NCTR3_HUMAN,True,True,False
O14944,EREG_HUMAN,True,False,True
O15031,PLXB2_HUMAN,True,True,False
O15041,SEM3E_HUMAN,False,False,True
O15123,ANGP2_HUMAN,False,False,True
O15146,MUSK_HUMAN,True,True,False
O15354,GPR37_HUMAN,True,True,False
O15444,CCL25_HUMAN,False,False,True
O15467,CCL16_HUMAN,False,False,True
O15520,FGF10_HUMAN,False,False,True
O43157,PLXB1_HUMAN,True,True,True
O43193,MTLR_HUMAN,True,True,False
O43323,DHH_HUMAN,True,False,True
O43508,TNF12_HUMAN,True,False,True
O43555,GON2_HUMAN,False,False,True
O43557,TNF14_HUMAN,True,False,True
O43603,GALR2_HUMAN,True,True,False
O43612,OREX_HUMAN,False,False,True
O43613,OX1R_HUMAN,True,True,False
O43614,OX2R_HUMAN,True,True,False
O43914,TYOBP_HUMAN,True,False,False
O43915,VEGFD_HUMAN,False,False,True
O43921,EFNA2_HUMAN,True,False,False
O43927,CXL13_HUMAN,False,False,True
O60258,FGF17_HUMAN,False,False,True
O60353,FZD6_HUMAN,True,True,False
O60383,GDF9_HUMAN,False,False,True
O60462,NRP2_HUMAN,True,True,True
O60469,DSCAM_HUMAN,True,False,True
O60486,PLXC1_HUMAN,True,True,False
O60494,CUBN_HUMAN,True,True,False
O60542,PSPN_HUMAN,False,False,True
O60609,GFRA3_HUMAN,True,True,False
O60755,GALR3_HUMAN,True,True,False
O60894,RAMP1_HUMAN,True,True,False
O60895,RAMP2_HUMAN,True,True,False
O60896,RAMP3_HUMAN,True,True,False
O75051,PLXA2_HUMAN,True,False,False
O75084,FZD7_HUMAN,True,True,False
O75093,SLIT1_HUMAN,False,False,True
O75096,LRP4_HUMAN,True,True,False
O75144,ICOSL_HUMAN,True,False,False
O75197,LRP5_HUMAN,True,True,False
O75326,SEM7A_HUMAN,True,False,False
O75473,LGR5_HUMAN,True,True,False
O75509,TNR21_HUMAN,True,True,False
O75578,ITA10_HUMAN,True,True,False
O75581,LRP6_HUMAN,True,True,False
O75610,LFTY1_HUMAN,False,False,True
O75888,TNF13_HUMAN,False,False,True
O94813,SLIT2_HUMAN,False,False,True
O94907,DKK1_HUMAN,False,False,True
O95136,S1PR2_HUMAN,True,True,False
O95150,TNF15_HUMAN,True,False,True
O95185,UNC5C_HUMAN,True,True,False
O95256,I18RA_HUMAN,True,True,False
O95264,5HT3B_HUMAN,True,True,False
O95390,GDF11_HUMAN,False,False,True
O95393,BMP10_HUMAN,False,False,True
O95399,UTS2_HUMAN,False,False,True
O95407,TNF6B_HUMAN,False,False,True
O95631,NET1_HUMAN,False,False,True
O95715,CXL14_HUMAN,False,False,True
O95727,CRTAM_HUMAN,True,False,False
O95750,FGF19_HUMAN,False,False,True
O95760,IL33_HUMAN,False,False,True
O95800,GPR75_HUMAN,True,True,False
O95813,CER1_HUMAN,False,False,True
O95838,GLP2R_HUMAN,True,True,False
O95971,BY55_HUMAN,True,True,False
O95972,BMP15_HUMAN,False,False,True
O96014,WNT11_HUMAN,False,False,True
P00533,EGFR_HUMAN,True,True,True
P00734,THRB_HUMAN,False,False,True
P00742,FA10_HUMAN,False,False,True
P00747,PLMN_HUMAN,False,False,True
P00749,UROK_HUMAN,False,False,True
P00797,RENI_HUMAN,False,False,True
P01019,ANGT_HUMAN,False,False,True
P01024,CO3_HUMAN,False,False,True
P01031,CO5_HUMAN,False,False,True
P01042,KNG1_HUMAN,False,False,True
P01127,PDGFB_HUMAN,False,False,True
P01133,EGF_HUMAN,False,False,True
P01135,TGFA_HUMAN,True,False,True
P01137,TGFB1_HUMAN,False,False,True
P01138,NGF_HUMAN,False,False,True
P01148,GON1_HUMAN,False,False,True
P01160,ANF_HUMAN,False,False,True
P01178,NEU1_HUMAN,False,False,True
P01185,NEU2_HUMAN,False,False,True
P01189,COLI_HUMAN,False,False,True
P01210,PENK_HUMAN,False,False,True
P01213,PDYN_HUMAN,False,False,True
P01222,TSHB_HUMAN,False,False,True
P01225,FSHB_HUMAN,False,False,True
P01229,LSHB_HUMAN,False,False,True
P01236,PRL_HUMAN,False,False,True
P01241,SOMA_HUMAN,False,False,True
P01242,SOM2_HUMAN,False,False,True
P01258,CALC_HUMAN,False,False,True
P01266,THYG_HUMAN,False,False,True
P01270,PTHY_HUMAN,False,False,True
P01275,GLUC_HUMAN,False,False,True
P01282,VIP_HUMAN,False,False,True
P01286,SLIB_HUMAN,False,False,True
P01308,INS_HUMAN,False,False,True
P01344,IGF2_HUMAN,False,False,True
P01350,GAST_HUMAN,False,False,True
P01374,TNFB_HUMAN,False,False,True
P01375,TNFA_HUMAN,True,False,True
IFNA1,IFNA1,False,False,True
P01563,IFNA2_HUMAN,False,False,True
P01566,IFN10_HUMAN,False,False,True
P01567,IFNA7_HUMAN,False,False,True
P01568,IFN21_HUMAN,False,False,True
P01569,IFNA5_HUMAN,False,False,True
